school_id,school,state,students,municipality_type,municipality_size
456,BROOKFIELD HIGH SCHOOL,CT,880,Suburb,Mid-size
457,JOHN STARK REGIONAL HIGH SCHOOL,NH,688,Rural,Distant
458,MOUNT UNION AREA SHS,PA,457,Town,Distant
459,PRENTICE HIGH,WI,128,Rural,Remote
460,CHARLESTON HIGH,MO,273,Town,Distant
461,MOUNTAIN RANGE HIGH SCHOOL,CO,1991,Suburb,Large
462,JENKS HS,OK,3334,Suburb,Large
463,ALBERTON HIGH SCHOOL,MT,32,Rural,Distant
464,CONCORD HIGH,NC,1318,City,Small
465,CLINTON HIGH,WI,382,Rural,Distant
466,BETHEL PARK HS,PA,1528,Suburb,Large
467,POTOSI HIGH,WI,116,Rural,Distant
468,QUINCY HIGH SCHOOL,WA,830,Town,Distant
469,STRAFFORD HIGH,MO,360,Suburb,Large
470,SILVER VALLEY HIGH,CA,378,Rural,Distant
471,MASHPEE HIGH,MA,422,Suburb,Mid-size
472,EDISON ACADEMY,MA,221,Suburb,Large
473,RAMON C. CORTINES SCHOOL OF VISUAL AND PERFORMING ARTS,CA,1527,City,Large
474,BURKBURNETT H S,TX,901,Town,Fringe
475,HENRY J. KAISER HIGH,CA,2335,Suburb,Large
476,MT. VERNON HIGH,MO,475,Town,Distant
477,FORSYTH HIGH,MO,409,Town,Distant
478,CLEAR CREEK HIGH SCHOOL,CO,222,Rural,Distant
479,ASSETS,TX,228,Suburb,Large
480,WASHTENAW INTERNATIONAL HIGH SCHOOL,MI,395,Suburb,Large
