school_id,limits,length,inches
271,skirts,shorter than x inches from knee,2
271,shorts,shorter than x inches from knee,2
272,skirts,shorter than fingertips,
272,shorts,shorter than fingertips,
273,skirts,"""short""/""inappropriate length"" (no exact measurement given)",
273,shorts,"""short""/""inappropriate length"" (no exact measurement given)",
274,skirts,shorter than mid-thigh,
274,shorts,shorter than mid-thigh,
275,skirts,shorter than fingertips,
275,shorts,shorter than fingertips,
275,skorts,shorter than fingertips,
276,shorts,"""short""/""inappropriate length"" (no exact measurement given)",
277,dresses,shorter than x inches from knee,3
277,shorts,shorter than x inches from knee,3
280,dresses,shorter than fingertips,
280,skirts,shorter than fingertips,
280,shorts,shorter than fingertips,
282,skirts,shorter than fingertips,
282,shorts,shorter than fingertips,
283,skirts,shorter than x inches from knee,6
283,shorts,shorter than x inch inseam,4
284,shorts,shorter than x inches from knee,4
285,dresses,"""short""/""inappropriate length"" (no exact measurement given)",
285,skirts,"""short""/""inappropriate length"" (no exact measurement given)",
285,shorts,"""short""/""inappropriate length"" (no exact measurement given)",
286,dresses,shorter than fingertips,
286,skirts,shorter than fingertips,
286,shorts,shorter than fingertips,
289,dresses,shorter than mid-thigh,
289,skirts,shorter than mid-thigh,
289,shorts,shorter than mid-thigh,
291,dresses,shorter than x inches from knee,2
291,skirts,shorter than x inches from knee,2
291,shorts,shorter than x inches from knee,2
292,shorts,shorter than mid-thigh,
293,dresses,shorter than fingertips,
293,skirts,shorter than fingertips,
293,shorts,shorter than fingertips,
294,dresses,shorter than fingertips,
294,skirts,shorter than fingertips,
294,shorts,shorter than fingertips,
295,shorts,shorter than mid-thigh,
297,dresses,shorter than fingertips,
297,skirts,shorter than fingertips,
297,shorts,shorter than fingertips,
298,skirts,"""short""/""inappropriate length"" (no exact measurement given)",
298,shorts,"""short""/""inappropriate length"" (no exact measurement given)",
300,dresses,shorter than mid-thigh,
300,pants,shorter than mid-thigh,
300,skirts,shorter than mid-thigh,
300,shorts,shorter than mid-thigh,
304,skirts,"""short""/""inappropriate length"" (no exact measurement given)",
304,shorts,"""short""/""inappropriate length"" (no exact measurement given)",
305,skirts,"""short""/""inappropriate length"" (no exact measurement given)",
305,shorts,"""short""/""inappropriate length"" (no exact measurement given)",
306,shorts,"""short""/""inappropriate length"" (no exact measurement given)",
307,dresses,shorter than fingertips,
307,skirts,shorter than fingertips,
307,shorts,shorter than fingertips,
308,skirts,"""short""/""inappropriate length"" (no exact measurement given)",
308,shorts,"""short""/""inappropriate length"" (no exact measurement given)",
310,shirts,reach top of pants,
311,skirts,"shorter than mid-thigh, ""short""/""inappropriate length"" (no exact measurement given)",
311,shorts,"shorter than mid-thigh, ""short""/""inappropriate length"" (no exact measurement given)",
313,skirts,"""short""/""inappropriate length"" (no exact measurement given)",
313,shorts,"""short""/""inappropriate length"" (no exact measurement given)",
314,dresses,"shorter than fingertips, shorter than the knee",
314,shorts,"shorter than fingertips, shorter than the knee",
315,dresses,shorter than x inches from knee,2
315,pants,shorter than x inches from knee,2
315,skirts,shorter than x inches from knee,2
